86.5375,0.02,0.02,-4.22,0.00,0.00,0.00,61.20,0.00,100,100
86.6386,0.01,-0.00,-4.21,0.00,0.00,0.00,61.20,0.00,100,100
86.7455,0.01,-0.01,-4.21,0.00,0.00,0.00,61.20,0.00,100,100
86.8458,0.01,-0.01,-4.20,0.00,0.00,0.00,61.20,0.00,100,100
86.9463,0.01,-0.00,-4.16,0.00,0.00,0.00,61.20,0.00,100,100
87.0465,0.01,-0.01,-4.13,0.00,0.00,0.00,61.20,0.00,100,100
87.1478,0.01,-0.01,-4.11,0.00,0.00,0.00,61.20,0.00,100,100
87.2480,0.01,-0.00,-4.10,0.00,0.00,0.00,61.20,0.00,100,100
87.3514,0.01,-0.01,-4.07,0.00,0.00,0.00,61.20,0.00,100,100
87.4534,0.01,-0.01,-4.09,0.00,0.00,0.00,61.20,0.00,100,100
87.5541,0.01,-0.01,-4.15,0.00,0.00,0.00,61.20,0.00,100,100
87.6545,0.01,-0.01,-4.19,0.00,0.00,0.00,61.20,0.00,100,100
87.8420,0.02,0.01,-4.17,0.00,0.00,0.00,61.20,0.00,100,100
87.9420,0.01,-0.01,-4.15,0.00,0.00,0.00,61.20,0.00,100,100
88.0432,0.01,-0.01,-4.12,0.00,0.00,0.00,61.20,0.00,100,100
88.1446,0.01,-0.01,-4.09,0.00,0.00,0.00,61.20,0.00,100,100
88.2460,0.01,-0.01,-4.04,0.00,0.00,0.00,61.20,0.00,100,100
88.3496,0.01,-0.01,-4.02,0.00,0.00,0.00,61.20,0.00,100,100
88.4503,0.01,-0.01,-4.00,0.00,0.00,0.00,61.20,0.00,100,100
88.5508,0.01,-0.01,-4.07,0.00,0.00,0.00,61.20,0.00,100,100
88.6509,0.01,-0.01,-4.11,0.00,0.00,0.00,61.20,0.00,100,100
88.7510,0.01,-0.01,-4.12,0.00,0.00,0.00,61.20,0.00,100,100
88.8519,0.01,-0.01,-4.13,0.00,0.00,0.00,61.20,0.00,100,100
88.9522,0.01,-0.01,-4.12,0.00,0.00,0.00,61.20,0.00,100,100
89.0525,0.01,-0.01,-4.12,0.00,0.00,0.00,61.20,0.00,100,100
89.1533,0.01,-0.01,-4.08,0.00,0.00,0.00,61.20,0.00,100,100
89.2536,0.01,-0.01,-4.01,0.00,0.00,0.00,61.20,0.00,100,100
89.3557,0.01,-0.01,-3.99,0.00,0.00,0.00,61.20,0.00,100,100
89.4563,0.01,-0.01,-4.01,0.00,0.00,0.00,61.20,0.00,100,100
89.6457,0.02,0.01,-4.03,0.00,0.00,0.00,61.20,0.00,100,100
89.8467,0.02,0.01,-4.04,0.00,0.00,0.00,61.20,0.00,100,100
90.0453,0.02,0.01,-4.05,0.00,0.00,0.00,61.20,0.00,100,100
90.1468,0.01,-0.01,-4.02,0.00,0.00,0.00,61.20,0.00,100,100
90.2473,0.01,-0.01,-4.02,0.00,0.00,0.00,61.20,0.00,100,100
90.3481,0.01,-0.01,-4.07,0.00,0.00,0.00,61.20,0.00,100,100
90.4487,0.01,-0.01,-4.06,0.00,0.00,0.00,61.20,0.00,100,100
90.5505,0.01,-0.01,-4.08,0.00,0.00,0.00,61.20,0.00,100,100
90.6518,0.02,0.01,-4.08,0.00,0.00,0.00,61.20,0.00,100,100
90.7533,0.01,-0.01,-4.09,0.00,0.00,0.00,61.20,0.00,100,100
90.9450,0.02,0.01,-4.05,0.00,0.00,0.00,61.20,0.00,100,100
91.1435,0.02,0.01,-4.03,0.00,0.00,0.00,61.20,0.00,100,100
91.2464,0.01,-0.01,-4.01,0.00,0.00,0.00,61.20,0.00,100,100
91.3472,0.01,-0.01,-4.01,0.00,0.00,0.00,61.20,0.00,100,100
91.4484,0.01,-0.01,-4.02,0.00,0.00,0.00,61.20,0.00,100,100
91.5508,0.01,-0.01,-4.06,0.00,0.00,0.00,61.20,0.00,100,100
91.6544,0.01,-0.01,-4.11,0.00,0.00,0.00,61.20,0.00,100,100
91.7545,0.01,-0.01,-4.12,0.00,0.00,0.00,61.20,0.00,100,100
91.8559,0.01,-0.01,-4.13,0.00,0.00,0.00,61.20,0.00,100,100
91.9570,0.01,-0.01,-4.13,0.00,0.00,0.00,61.20,0.00,100,100
